event_id,user_id,region,category,amount,ts
92,3330,ap-northeast,subscription,231.52,1700000092
93,1940,us-west,subscription,220.47,1700000093
94,204,us-west,marketplace,195.81,1700000094
95,3373,us-west,marketplace,40.64,1700000095
96,886,ap-south,ads,214.79,1700000096
97,1823,us-west,storage,88.06,1700000097
98,1865,us-west,ads,165.35,1700000098
99,3265,eu-central,marketplace,216.22,1700000099
100,2287,eu-central,compute,100.52,1700000100
101,4393,eu-central,ads,29.72,1700000101
102,2140,us-west,compute,240.67,1700000102
103,2175,us-east,ads,149.55,1700000103
104,2832,eu-central,storage,151.95,1700000104
105,4190,us-east,storage,224.98,1700000105
106,1558,eu-central,ads,177.49,1700000106
107,14,ap-northeast,compute,172.03,1700000107
108,1615,eu-central,storage,18.42,1700000108
109,2705,ap-northeast,marketplace,166.18,1700000109
110,1021,eu-central,compute,78.01,1700000110
111,3346,eu-central,storage,174.6,1700000111
112,4542,us-west,subscription,105.69,1700000112
113,3106,us-west,compute,142.71,1700000113
114,3327,ap-northeast,ads,76.66,1700000114
115,1722,ap-south,compute,152.06,1700000115
116,2640,ap-south,storage,111.1,1700000116
117,1751,ap-northeast,storage,198.64,1700000117
118,1391,us-east,marketplace,129.35,1700000118
119,2746,us-east,subscription,168.53,1700000119
120,1841,us-west,subscription,7.08,1700000120
121,2006,ap-south,compute,212.58,1700000121
122,597,ap-south,storage,221.65,1700000122
123,4716,us-west,storage,124.1,1700000123
124,1999,us-west,ads,223.27,1700000124
125,874,ap-south,subscription,44.8,1700000125
126,4244,ap-south,ads,139.79,1700000126
127,995,ap-south,subscription,200.55,1700000127
128,4352,ap-northeast,compute,80.01,1700000128
129,3626,ap-northeast,compute,107.26,1700000129
130,4489,ap-south,subscription,186.17,1700000130
131,3889,ap-south,marketplace,188.19,1700000131
132,2272,ap-northeast,storage,157.06,1700000132
133,2250,ap-south,ads,178.67,1700000133
134,1921,eu-central,marketplace,80.61,1700000134
135,4425,us-east,subscription,38.56,1700000135
136,3138,us-west,subscription,16.99,1700000136
137,3340,eu-central,compute,117.02,1700000137
138,511,us-west,storage,97.98,1700000138
139,4785,us-east,compute,95.71,1700000139
140,49,eu-central,marketplace,188.62,1700000140
141,3433,ap-northeast,compute,200.17,1700000141
142,1807,ap-south,subscription,68.96,1700000142
143,3979,us-east,storage,84.7,1700000143
144,3313,us-west,storage,229.97,1700000144
145,4376,us-east,storage,148.38,1700000145
146,223,us-east,storage,34.79,1700000146
147,3783,us-west,ads,65.78,1700000147
148,2682,us-west,storage,82.38,1700000148
149,3106,eu-central,storage,63.82,1700000149
150,671,ap-south,ads,187.51,1700000150
151,427,eu-central,subscription,162.89,1700000151
152,330,us-east,subscription,50.64,1700000152
153,167,ap-northeast,subscription,60.4,1700000153
154,3880,us-east,compute,236.99,1700000154
155,3810,eu-central,marketplace,42.78,1700000155
156,4975,us-east,subscription,241.22,1700000156
157,886,ap-northeast,ads,232.29,1700000157
158,4717,ap-south,storage,235.43,1700000158
159,1625,us-east,compute,172.96,1700000159
160,1990,us-east,marketplace,212.72,1700000160
161,4919,us-east,compute,195.88,1700000161
162,2845,ap-northeast,storage,165.72,1700000162
163,565,ap-northeast,marketplace,4.15,1700000163
164,3442,ap-south,ads,108.95,1700000164
165,2968,ap-south,subscription,109.44,1700000165
166,4275,eu-central,compute,202.24,1700000166
167,4409,ap-south,storage,109.46,1700000167
168,4854,eu-central,marketplace,213.08,1700000168
169,710,eu-central,storage,61.72,1700000169
170,3807,ap-northeast,compute,167.38,1700000170
171,2756,us-east,storage,212.89,1700000171
172,1490,ap-south,subscription,89.35,1700000172
173,2117,eu-central,marketplace,220.2,1700000173
174,2264,ap-northeast,ads,129.64,1700000174
175,1566,us-east,subscription,180.3,1700000175
176,4003,ap-northeast,subscription,172.96,1700000176
177,4021,ap-south,ads,24.17,1700000177
178,1816,ap-south,subscription,77.25,1700000178
179,4765,eu-central,storage,138.81,1700000179
180,2817,ap-south,compute,83.37,1700000180
181,3718,eu-central,marketplace,63.6,1700000181
182,989,us-west,marketplace,30.77,1700000182
183,4390,us-west,subscription,54.88,1700000183
184,3967,eu-central,compute,244.18,1700000184
185,4298,ap-northeast,marketplace,245.15,1700000185
186,1591,eu-central,subscription,90.86,1700000186
187,2477,us-east,compute,32.52,1700000187
188,373,us-east,compute,73.74,1700000188
189,1035,ap-south,ads,218.31,1700000189
190,4703,eu-central,storage,120.2,1700000190
191,2792,us-west,ads,63.87,1700000191
192,3914,us-east,ads,100.78,1700000192
193,607,ap-northeast,ads,38.78,1700000193
194,4611,eu-central,ads,248.49,1700000194
195,971,ap-northeast,storage,151.97,1700000195
196,1849,ap-northeast,storage,113.18,1700000196
197,3627,eu-central,compute,247.52,1700000197
198,2502,ap-northeast,compute,16.0,1700000198
199,813,us-west,subscription,66.9,1700000199
200,666,us-west,subscription,44.28,1700000200
201,615,us-west,ads,102.72,1700000201
202,4865,ap-south,marketplace,9.13,1700000202
203,2361,eu-central,storage,18.72,1700000203
204,1913,eu-central,compute,165.63,1700000204
205,1621,ap-south,ads,136.6,1700000205
206,1221,eu-central,subscription,18.78,1700000206
207,1360,eu-central,compute,187.49,1700000207
208,4663,eu-central,storage,31.96,1700000208
209,2492,ap-south,marketplace,125.62,1700000209
210,4046,ap-south,ads,149.91,1700000210
211,3540,eu-central,compute,63.34,1700000211
212,749,us-west,compute,147.19,1700000212
213,170,eu-central,compute,11.02,1700000213
214,1436,ap-south,compute,163.23,1700000214
215,2279,us-west,compute,109.54,1700000215
216,4029,us-east,storage,87.64,1700000216
217,2731,eu-central,ads,214.58,1700000217
218,2702,ap-south,storage,72.77,1700000218
219,3281,ap-northeast,ads,114.25,1700000219
220,2577,eu-central,marketplace,29.86,1700000220
221,3312,ap-northeast,ads,164.76,1700000221
222,4445,ap-south,storage,14.5,1700000222
223,4248,eu-central,compute,189.35,1700000223
224,3622,us-east,subscription,67.5,1700000224
225,1074,eu-central,storage,220.33,1700000225
226,3971,us-east,ads,243.31,1700000226
227,4988,us-west,subscription,78.38,1700000227
228,113,ap-northeast,storage,24.21,1700000228
229,930,ap-south,ads,162.28,1700000229
230,1262,ap-south,marketplace,127.71,1700000230
231,2240,ap-south,storage,245.08,1700000231
232,1997,ap-south,compute,37.02,1700000232
233,1562,ap-northeast,compute,186.83,1700000233
234,1119,us-east,marketplace,193.4,1700000234
235,3400,eu-central,compute,67.53,1700000235
236,22,eu-central,marketplace,209.53,1700000236
237,4751,ap-south,subscription,112.19,1700000237
238,3968,eu-central,marketplace,138.43,1700000238
239,4452,ap-south,storage,233.28,1700000239
240,1546,us-west,compute,96.36,1700000240
241,3366,us-east,marketplace,186.43,1700000241
242,3124,ap-south,subscription,124.34,1700000242
243,304,us-west,compute,241.37,1700000243
244,2720,us-east,storage,25.83,1700000244
245,3744,us-east,subscription,103.08,1700000245
246,1265,us-east,storage,195.6,1700000246
247,2172,eu-central,compute,173.48,1700000247
248,658,eu-central,compute,95.62,1700000248
249,2595,ap-south,compute,9.94,1700000249
250,561,us-west,marketplace,249.36,1700000250
251,741,ap-south,ads,190.33,1700000251
252,824,ap-south,subscription,173.81,1700000252
253,238,us-east,marketplace,199.24,1700000253
254,2404,eu-central,marketplace,108.24,1700000254
255,2001,ap-northeast,storage,141.92,1700000255
256,1476,us-west,subscription,20.66,1700000256
257,3134,ap-northeast,subscription,124.92,1700000257
258,4778,us-west,subscription,115.83,1700000258
259,2081,ap-south,marketplace,167.04,1700000259
260,3812,eu-central,compute,40.34,1700000260
261,3619,eu-central,compute,75.49,1700000261
262,3476,eu-central,storage,211.48,1700000262
263,1632,ap-south,storage,27.56,1700000263
264,3125,ap-northeast,marketplace,144.13,1700000264
265,2419,us-east,storage,69.35,1700000265
266,4637,us-east,compute,186.55,1700000266
267,2345,us-west,compute,200.68,1700000267
268,1795,us-west,compute,63.41,1700000268
269,1121,us-east,ads,77.92,1700000269
270,3612,us-east,compute,91.85,1700000270
271,1077,us-east,marketplace,82.35,1700000271
272,3404,us-west,subscription,33.91,1700000272
273,4419,eu-central,compute,125.95,1700000273
274,2233,us-west,marketplace,228.6,1700000274
275,3948,eu-central,marketplace,201.25,1700000275
276,3837,us-east,subscription,188.78,1700000276
277,1849,ap-south,compute,92.08,1700000277
278,3233,us-east,marketplace,134.61,1700000278
279,3726,eu-central,marketplace,146.56,1700000279
280,3044,us-east,subscription,118.4,1700000280
281,4600,eu-central,compute,56.12,1700000281
282,518,ap-south,marketplace,162.66,1700000282
283,956,us-west,ads,236.62,1700000283
284,2494,ap-south,ads,25.2,1700000284
285,4404,us-west,storage,113.96,1700000285
286,4426,ap-south,compute,185.82,1700000286
287,1266,ap-south,ads,208.59,1700000287
288,3344,eu-central,ads,172.88,1700000288
289,1780,ap-south,storage,237.69,1700000289
290,2972,us-east,marketplace,136.57,1700000290
291,2939,us-east,storage,69.69,1700000291
292,1001,ap-south,ads,166.03,1700000292
293,4892,us-east,ads,196.91,1700000293
294,1996,us-west,compute,52.1,1700000294
295,4541,us-west,compute,54.77,1700000295
296,1909,eu-central,subscription,197.37,1700000296
297,4883,us-east,marketplace,214.74,1700000297
298,1186,us-west,compute,63.41,1700000298
299,1430,us-east,ads,33.82,1700000299
300,2935,us-west,compute,81.62,1700000300
301,1428,eu-central,ads,32.56,1700000301
302,3449,ap-northeast,ads,186.67,1700000302
303,3902,ap-south,marketplace,128.8,1700000303
304,894,ap-south,compute,56.17,1700000304
305,356,ap-northeast,marketplace,115.05,1700000305
306,256,us-east,storage,211.98,1700000306
307,3493,us-east,storage,178.39,1700000307
308,3634,us-east,ads,81.21,1700000308
309,1216,us-east,subscription,69.48,1700000309
310,4796,ap-northeast,marketplace,95.85,1700000310
311,4894,ap-northeast,marketplace,113.98,1700000311
312,4960,ap-south,ads,198.48,1700000312
313,938,ap-northeast,subscription,108.09,1700000313
314,1872,ap-south,marketplace,207.03,1700000314
315,3267,ap-south,ads,78.82,1700000315
316,2561,eu-central,marketplace,238.44,1700000316
317,3886,us-east,ads,208.11,1700000317
318,764,ap-south,ads,186.4,1700000318
319,3053,us-west,compute,15.94,1700000319
320,4601,ap-northeast,marketplace,167.83,1700000320
321,3366,eu-central,storage,217.15,1700000321
322,422,eu-central,compute,78.8,1700000322
323,849,ap-northeast,compute,53.97,1700000323
324,3951,us-west,ads,88.18,1700000324
325,4557,eu-central,ads,190.89,1700000325
326,4704,us-west,storage,211.44,1700000326
327,4561,us-east,compute,232.34,1700000327
328,2191,us-east,subscription,69.04,1700000328
329,2532,eu-central,marketplace,2.52,1700000329
330,1174,ap-northeast,storage,18.33,1700000330
331,252,us-east,compute,54.57,1700000331
332,3440,ap-south,marketplace,40.19,1700000332
333,2553,eu-central,compute,149.46,1700000333
334,431,us-west,subscription,188.85,1700000334
335,408,us-east,marketplace,111.34,1700000335
336,3474,ap-south,compute,111.07,1700000336
337,2238,us-west,compute,29.34,1700000337
338,3522,us-east,marketplace,169.88,1700000338
339,4859,ap-south,compute,167.12,1700000339
340,373,us-west,storage,246.13,1700000340
341,449,us-east,subscription,76.05,1700000341
342,1731,us-west,marketplace,73.07,1700000342
343,983,us-east,storage,187.01,1700000343
344,1440,us-west,storage,133.61,1700000344
345,1886,ap-northeast,compute,208.51,1700000345
346,2902,us-east,storage,215.58,1700000346
347,347,ap-south,ads,115.48,1700000347
348,638,eu-central,compute,107.89,1700000348
349,3314,ap-south,marketplace,29.68,1700000349
350,171,eu-central,subscription,200.53,1700000350
351,3770,eu-central,ads,109.74,1700000351
352,868,us-west,storage,147.63,1700000352
353,4293,us-east,storage,217.76,1700000353
354,2782,us-west,marketplace,195.0,1700000354
355,626,ap-northeast,ads,133.12,1700000355
356,1589,eu-central,marketplace,182.12,1700000356
357,1210,us-west,ads,37.46,1700000357
358,1617,us-west,compute,39.06,1700000358
359,618,us-west,storage,116.52,1700000359
360,4619,ap-northeast,storage,170.6,1700000360
361,4625,ap-northeast,marketplace,216.2,1700000361
362,2590,us-west,storage,18.0,1700000362
363,3623,eu-central,marketplace,148.26,1700000363
364,2884,ap-northeast,ads,78.29,1700000364
365,3703,us-east,ads,92.82,1700000365
366,2352,us-east,ads,154.14,1700000366
367,4154,ap-south,storage,145.5,1700000367
368,337,ap-south,compute,163.31,1700000368
369,2634,ap-northeast,storage,125.84,1700000369
370,507,ap-south,ads,202.93,1700000370
371,2814,us-east,compute,161.89,1700000371
372,321,us-west,storage,247.76,1700000372
373,4294,ap-northeast,compute,40.53,1700000373
374,3055,eu-central,storage,102.78,1700000374
375,2772,ap-northeast,ads,197.52,1700000375
376,2742,us-east,marketplace,24.53,1700000376
377,3167,eu-central,marketplace,181.21,1700000377
378,4938,us-west,marketplace,21.29,1700000378
379,1159,eu-central,marketplace,241.96,1700000379
380,3211,us-west,compute,177.5,1700000380
381,695,eu-central,compute,94.79,1700000381
382,2691,us-west,compute,24.27,1700000382
383,3469,ap-northeast,marketplace,5.54,1700000383
384,2531,us-west,subscription,86.09,1700000384
385,3984,us-west,subscription,249.99,1700000385
386,1270,us-east,marketplace,211.26,1700000386
387,829,ap-northeast,compute,208.94,1700000387
388,4314,us-east,marketplace,219.22,1700000388
389,1074,ap-northeast,storage,39.41,1700000389
390,1482,ap-northeast,subscription,180.57,1700000390
391,358,ap-south,marketplace,169.41,1700000391
392,1946,ap-south,compute,71.95,1700000392
393,3678,us-west,compute,60.55,1700000393
394,3843,us-west,marketplace,169.9,1700000394
395,4673,ap-south,storage,192.59,1700000395
396,3129,ap-northeast,compute,105.25,1700000396
397,1328,us-west,compute,35.46,1700000397
398,2049,us-east,storage,218.66,1700000398
399,4543,us-east,compute,212.94,1700000399
400,2336,us-east,subscription,68.93,1700000400
401,4206,us-west,storage,23.84,1700000401
402,1819,ap-south,marketplace,232.69,1700000402
403,3399,us-east,storage,126.0,1700000403
404,1932,ap-south,ads,94.35,1700000404
405,231,eu-central,ads,209.95,1700000405
406,2747,us-west,subscription,10.54,1700000406
407,3871,us-west,storage,112.7,1700000407
408,44,us-east,ads,64.73,1700000408
409,1225,ap-northeast,compute,132.42,1700000409
410,911,eu-central,subscription,75.99,1700000410
411,392,us-west,storage,160.1,1700000411
412,3745,us-east,ads,209.34,1700000412
413,4095,ap-northeast,compute,5.09,1700000413
414,4222,ap-northeast,subscription,179.92,1700000414
415,2387,ap-south,ads,154.09,1700000415
416,1971,ap-northeast,storage,47.64,1700000416
417,702,ap-northeast,marketplace,17.85,1700000417
418,4310,ap-northeast,compute,196.82,1700000418
419,4159,ap-northeast,ads,98.22,1700000419
420,3852,us-east,storage,245.28,1700000420
421,2078,us-east,marketplace,197.34,1700000421
422,2825,us-west,ads,193.1,1700000422
423,2724,us-west,ads,88.72,1700000423
424,2774,us-west,storage,245.22,1700000424
425,3921,us-west,subscription,16.71,1700000425
426,3750,us-east,marketplace,51.2,1700000426
427,1635,us-east,marketplace,233.41,1700000427
428,4223,ap-south,compute,118.88,1700000428
429,300,us-west,marketplace,89.89,1700000429
430,392,eu-central,marketplace,31.99,1700000430
431,3015,ap-south,storage,186.08,1700000431
432,3168,eu-central,subscription,124.55,1700000432
433,4076,eu-central,compute,67.41,1700000433
434,677,ap-south,ads,108.22,1700000434
435,1479,ap-northeast,marketplace,80.98,1700000435
436,656,eu-central,marketplace,77.32,1700000436
437,4937,ap-south,subscription,172.75,1700000437
438,2880,ap-south,ads,181.98,1700000438
439,2889,ap-northeast,storage,69.36,1700000439
440,470,us-east,storage,91.46,1700000440
441,1311,us-east,subscription,212.32,1700000441
442,3590,us-east,subscription,17.74,1700000442
443,3001,eu-central,storage,237.42,1700000443
444,266,ap-northeast,subscription,170.09,1700000444
445,3039,eu-central,storage,191.01,1700000445
446,4702,us-west,compute,92.37,1700000446
447,2576,eu-central,subscription,240.17,1700000447
448,213,us-west,storage,129.92,1700000448
449,4602,us-east,marketplace,193.97,1700000449
450,3656,us-west,compute,72.11,1700000450
451,4024,us-west,ads,34.8,1700000451
452,607,ap-south,subscription,224.77,1700000452
453,3647,us-east,marketplace,167.29,1700000453
454,532,ap-northeast,compute,73.3,1700000454
455,2458,us-west,subscription,198.63,1700000455
456,4168,us-west,ads,246.3,1700000456
457,1138,us-west,storage,7.54,1700000457
458,4539,ap-northeast,marketplace,117.38,1700000458
459,4520,us-west,compute,221.18,1700000459
460,539,eu-central,storage,249.9,1700000460
461,3922,ap-northeast,storage,192.52,1700000461
462,4710,us-east,subscription,243.12,1700000462
463,608,ap-south,storage,170.35,1700000463
464,2823,us-west,compute,160.31,1700000464
465,1491,us-west,storage,126.21,1700000465
466,454,us-east,compute,39.1,1700000466
467,1349,us-west,marketplace,233.75,1700000467
468,1848,eu-central,compute,223.84,1700000468
469,647,eu-central,subscription,159.13,1700000469
470,4513,eu-central,subscription,156.63,1700000470
471,4371,us-east,compute,160.61,1700000471
472,4849,ap-northeast,subscription,43.63,1700000472
473,4958,eu-central,compute,11.26,1700000473
474,233,us-east,ads,237.19,1700000474
475,4725,eu-central,subscription,191.97,1700000475
476,3413,ap-northeast,ads,125.01,1700000476
477,4470,eu-central,marketplace,121.25,1700000477
478,3327,eu-central,storage,19.17,1700000478
479,491,us-west,storage,104.49,1700000479
480,3805,us-west,marketplace,152.06,1700000480
481,2561,eu-central,marketplace,243.87,1700000481
482,1072,eu-central,compute,140.85,1700000482
483,2615,us-west,storage,31.51,1700000483
484,3684,us-west,subscription,25.11,1700000484
485,2378,ap-south,compute,105.12,1700000485
486,1309,eu-central,compute,180.56,1700000486
487,1556,us-west,storage,249.0,1700000487
488,3825,ap-south,marketplace,124.85,1700000488
489,738,ap-south,compute,114.85,1700000489
490,1973,us-west,compute,88.87,1700000490
491,415,eu-central,storage,149.78,1700000491
492,3856,eu-central,compute,3.04,1700000492
493,881,ap-south,subscription,220.73,1700000493
494,2997,ap-south,marketplace,12.27,1700000494
495,420,ap-northeast,compute,49.47,1700000495
496,4533,eu-central,ads,97.2,1700000496
497,3690,ap-northeast,marketplace,206.5,1700000497
498,974,us-west,ads,99.08,1700000498
499,2778,ap-northeast,marketplace,188.99,1700000499
500,1631,ap-northeast,compute,100.95,1700000500
501,330,us-east,ads,35.12,1700000501
502,2729,ap-south,compute,114.79,1700000502
503,4967,ap-northeast,subscription,82.66,1700000503
504,2610,us-west,storage,247.66,1700000504
505,2452,ap-northeast,marketplace,127.32,1700000505
506,4176,ap-northeast,storage,177.48,1700000506
507,2456,ap-south,ads,92.72,1700000507
508,898,ap-south,compute,77.61,1700000508
509,219,ap-northeast,storage,67.12,1700000509
510,4739,ap-northeast,subscription,180.63,1700000510
511,4781,ap-south,subscription,131.53,1700000511
512,3115,us-west,subscription,8.86,1700000512
513,901,us-west,ads,110.82,1700000513
514,3431,us-west,storage,172.93,1700000514
515,3362,ap-northeast,compute,230.21,1700000515
516,511,us-west,compute,52.63,1700000516
517,2663,ap-south,compute,94.83,1700000517
518,1419,ap-south,compute,86.24,1700000518
519,2903,eu-central,compute,121.56,1700000519
520,2020,eu-central,compute,75.33,1700000520
521,2439,eu-central,subscription,172.87,1700000521
522,4006,eu-central,storage,87.85,1700000522
523,2241,eu-central,ads,143.8,1700000523
524,4450,ap-south,storage,204.78,1700000524
525,1200,eu-central,ads,72.62,1700000525
526,648,eu-central,storage,164.34,1700000526
527,3925,us-west,subscription,207.16,1700000527
528,2222,ap-northeast,marketplace,35.18,1700000528
529,4808,us-west,subscription,13.64,1700000529
530,4351,us-west,subscription,14.07,1700000530
531,3386,eu-central,storage,26.04,1700000531
532,1127,us-east,compute,244.5,1700000532
533,1294,ap-south,storage,119.88,1700000533
534,1634,eu-central,marketplace,72.07,1700000534
535,485,us-east,compute,58.82,1700000535
536,306,us-west,storage,220.68,1700000536
537,1441,us-east,storage,197.2,1700000537
538,1527,eu-central,ads,3.31,1700000538
539,4653,ap-northeast,ads,232.19,1700000539
540,2745,eu-central,storage,247.29,1700000540
541,4451,ap-northeast,storage,222.43,1700000541
542,1100,ap-northeast,storage,68.94,1700000542
543,923,eu-central,subscription,183.05,1700000543
544,2108,us-west,ads,184.42,1700000544
545,2417,ap-northeast,subscription,44.7,1700000545
546,3322,ap-south,compute,82.65,1700000546
547,3284,us-east,subscription,245.44,1700000547
548,3912,eu-central,subscription,2.7,1700000548
549,3143,us-west,storage,188.69,1700000549
550,2701,eu-central,compute,181.0,1700000550
551,94,eu-central,marketplace,173.5,1700000551
552,509,us-east,storage,77.39,1700000552
553,3322,ap-northeast,marketplace,172.88,1700000553
554,2417,eu-central,compute,55.99,1700000554
555,1095,ap-south,subscription,114.29,1700000555
556,4963,eu-central,storage,175.78,1700000556
557,3858,ap-northeast,subscription,190.7,1700000557
558,4881,us-east,compute,112.24,1700000558
559,2964,us-east,compute,28.94,1700000559
560,4487,ap-northeast,subscription,143.6,1700000560
561,1228,us-west,marketplace,213.77,1700000561
562,3620,us-east,subscription,179.51,1700000562
563,4005,us-east,compute,111.93,1700000563
564,456,ap-south,subscription,128.8,1700000564
565,3743,ap-northeast,ads,140.14,1700000565
566,2525,us-east,storage,64.36,1700000566
567,25,us-west,compute,19.18,1700000567
568,3471,eu-central,ads,135.75,1700000568
569,494,us-east,storage,8.9,1700000569
570,3350,us-west,subscription,191.69,1700000570
571,3444,eu-central,storage,112.69,1700000571
572,3093,ap-south,ads,171.0,1700000572
573,4418,us-west,marketplace,30.54,1700000573
574,4402,ap-south,compute,32.71,1700000574
575,1825,us-east,ads,244.64,1700000575
576,3793,ap-northeast,storage,133.45,1700000576
577,1882,us-west,storage,87.19,1700000577
578,2259,us-west,ads,9.02,1700000578
579,3435,ap-northeast,ads,60.93,1700000579
580,552,us-east,compute,9.36,1700000580
581,4898,us-east,subscription,185.39,1700000581
582,3296,ap-south,subscription,135.4,1700000582
583,463,us-west,compute,248.38,1700000583
584,1919,ap-northeast,marketplace,144.79,1700000584
585,2627,us-west,marketplace,219.19,1700000585
586,4271,us-west,storage,75.82,1700000586
587,500,ap-northeast,compute,220.05,1700000587
588,1435,ap-south,compute,124.41,1700000588
589,2822,ap-south,compute,80.36,1700000589
590,3411,ap-south,subscription,75.67,1700000590
591,1507,ap-northeast,storage,61.0,1700000591
592,1847,eu-central,subscription,201.64,1700000592
593,473,ap-northeast,storage,241.98,1700000593
594,4566,ap-northeast,subscription,97.72,1700000594
595,2089,us-west,marketplace,162.03,1700000595
596,3685,eu-central,ads,134.37,1700000596
597,1561,us-east,marketplace,94.91,1700000597
598,4956,ap-northeast,ads,218.53,1700000598
599,1542,ap-northeast,compute,55.04,1700000599
600,1712,eu-central,marketplace,239.3,1700000600
601,126,us-west,subscription,240.56,1700000601
602,962,ap-south,subscription,174.21,1700000602
603,1676,ap-south,subscription,138.47,1700000603
604,2319,ap-south,storage,133.88,1700000604
605,2944,eu-central,marketplace,90.55,1700000605
606,4074,ap-south,ads,200.9,1700000606
607,3847,eu-central,subscription,93.31,1700000607
608,3391,us-east,compute,216.16,1700000608
609,1196,us-east,marketplace,138.77,1700000609
610,4785,ap-northeast,storage,74.5,1700000610
611,1608,eu-central,subscription,95.58,1700000611
612,2014,ap-south,compute,164.0,1700000612
613,2766,eu-central,storage,241.66,1700000613
614,4019,ap-south,subscription,183.46,1700000614
615,2886,us-west,subscription,180.36,1700000615
616,4001,us-west,compute,247.59,1700000616
617,482,ap-northeast,ads,209.93,1700000617
618,609,us-east,ads,103.69,1700000618
619,1896,us-east,subscription,3.28,1700000619
620,4143,ap-south,marketplace,16.05,1700000620
621,3959,ap-south,ads,2.65,1700000621
622,4520,ap-south,ads,5.16,1700000622
623,2251,ap-northeast,marketplace,5.27,1700000623
624,3528,us-west,ads,229.59,1700000624
625,4296,us-west,subscription,48.79,1700000625
626,4313,eu-central,marketplace,67.56,1700000626
